Implementation,Order,RK_Subdivs,Int_Subdivs,Time_Sec
cpp,4,5,10,0.008651063442230225
cpp,4,5,50,0.0082521653175354
cpp,4,10,10,0.01717874050140381
cpp,4,10,50,0.017494335174560546
cpp,4,20,10,0.03313779354095459
cpp,4,20,50,0.034357829093933104
cpp,6,5,10,0.008763527870178223
cpp,6,5,50,0.008779058456420899
cpp,6,10,10,0.017258746623992918
cpp,6,10,50,0.017349236011505127
cpp,6,20,10,0.03414209842681885
cpp,6,20,50,0.03701071262359619
cpp,8,5,10,0.008939316272735595
cpp,8,5,50,0.009307107925415038
cpp,8,10,10,0.018166162967681886
cpp,8,10,50,0.01802210569381714
cpp,8,20,10,0.03373957395553589
cpp,8,20,50,0.034529635906219484
py,4,5,10,13.152009963989258
py,4,5,50,13.193303346633911
py,4,10,10,25.335465669631958
py,4,10,50,24.898363828659058
py,4,20,10,50.290916442871094
py,4,20,50,52.18538999557495
py,6,5,10,12.057569980621338
py,6,5,50,12.356151819229126
py,6,10,10,25.797099828720093
py,6,10,50,26.894408226013184
py,6,20,10,51.59231996536255
py,6,20,50,50.81548571586609
py,8,5,10,11.244495868682861
py,8,5,50,11.867395877838135
py,8,10,10,25.105971813201904
py,8,10,50,25.410969257354736
py,8,20,10,51.14625835418701
py,8,20,50,49.91195893287659
